filename,def_front,ok_front
cast_def_0_5230_jpeg.rf.f0562579c24dc9c1051a963ef40fcba5.jpg,1,0
cast_def_0_5117_jpeg.rf.899c8899b0aeefd057fb6da41f1ad59e.jpg,1,0
cast_def_0_5290_jpeg.rf.61f827e555d691c13c6bd5e9ea944186.jpg,1,0
cast_def_0_5289_jpeg.rf.772960014155ff93a2ba1b14abf3f64d.jpg,1,0
cast_def_0_5239_jpeg.rf.56c66f9c56466ba25ee0463b0b6c52f2.jpg,1,0
cast_def_0_5111_jpeg.rf.95204ad3fc74302932ffa538325347ac.jpg,1,0
cast_def_0_5124_jpeg.rf.0dc91ba49a2be6f23fcfa09a570fb9b4.jpg,1,0
cast_def_0_5242_jpeg.rf.5375efb987438d0335aa752d7bec16c9.jpg,1,0
cast_def_0_53_jpeg.rf.0c16cb3a10a219b569fd94e1048a6ef9.jpg,1,0
cast_def_0_532_jpeg.rf.0386131d72969743b90a94111211f3ef.jpg,1,0
cast_def_0_5113_jpeg.rf.c738de495f0c978e63cd448e7dfc614a.jpg,1,0
cast_def_0_5335_jpeg.rf.0e625d0382400b7ecb02c759ce5a79d9.jpg,1,0
cast_def_0_5297_jpeg.rf.def89988079a2c65e9970af407888baf.jpg,1,0
cast_def_0_5244_jpeg.rf.dd4e4ffc15e7c9c01c2c798bb804eb24.jpg,1,0
cast_def_0_5307_jpeg.rf.d23ffda70d8b0951bfa9058086aed45e.jpg,1,0
cast_def_0_6023_jpeg.rf.232e59dc7ccd4938f771e7bea1506aa0.jpg,1,0
cast_def_0_5336_jpeg.rf.71da5f918c82f4066a432c9a46332418.jpg,1,0
cast_def_0_5300_jpeg.rf.e0635051aff97c7d06cc4abb33b4ce88.jpg,1,0
cast_def_0_6007_jpeg.rf.946836144845f5bfb954b8e2cfd8eb5a.jpg,1,0
cast_def_0_5323_jpeg.rf.479852b5cd3c2b9a8032163bf3935ba5.jpg,1,0
cast_def_0_5286_jpeg.rf.c57056b37e8a468860b8b2891f8f5978.jpg,1,0
